studyID	enter	check	reference	journal	year	family	genus	epithet	species	where	studytype	SC	matingsystem	tm_species_Moeller	tm_pop	outcrossing_best	matingsystem_certain	pollinator_group	pollinator	mating_system_evidence	population	lat	lon	environment	morph	traitgroup1	traitgroup2	traitgroup3	traitX	traitY	scale	dimension	method	h2type	nfam	n	h2	mean	Vp	CVa	isCor	corA	corP	Va	evolvability	e_on_log	Ie	notes								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	flower_number	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-3.37	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	stigma_nectary_distance	corolla_tube_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.602	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	stigma_nectary_distance	corolla_tube_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.106	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	stigma_nectary_distance	corolla_lobe_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.286	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	stigma_nectary_distance	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.188	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	corolla_tube_length	corolla_tube_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.021	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	corolla_tube_length	corolla_lobe_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.235	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	corolla_tube_length	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.038	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	corolla_tube_width	corolla_lobe_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.129	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	corolla_tube_width	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.157	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	CERA	41.683333	-92.867222	greenhouse	NA	NA	NA	NA	corolla_lobe_length	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.106	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	floral	display	flower_number	flower_number	flower_number	count	count	halfsib_families	narrowsense	55	442	0.572	85.4	736.8076923	NA	0	NA	NA	421.454	5.779	0	4.324	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	floral	fit	female	stigma_nectary_distance	stigma_nectary_distance	ratio	linear	halfsib_families	narrowsense	55	380	0.606	23.18	2.02970297	NA	0	NA	NA	1.23	0.229	0	0.149	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	floral	fit	tube_length	corolla_tube_length	corolla_tube_length	ratio	linear	halfsib_families	narrowsense	55	446	0.663	16.96	1.476621418	NA	0	NA	NA	0.979	0.34	0	0.173	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	floral	fit	tube_width	corolla_tube_width	corolla_tube_width	ratio	linear	halfsib_families	narrowsense	55	417	0.655	6.48	0.72519084	NA	0	NA	NA	0.475	1.131	0	0.596	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	floral	flowersize	corolla	corolla_lobe_length	corolla_lobe_length	ratio	linear	halfsib_families	narrowsense	55	408	0.644	12.99	2.973602484	NA	0	NA	NA	1.915	1.135	0	0.627	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	floral	flowersize	corolla	corolla_lobe_width	corolla_lobe_width	ratio	linear	halfsib_families	narrowsense	55	428	0.616	5.93	0.391233766	NA	0	NA	NA	0.241	0.685	0	0.427	Va_given_in_Appendix._Summary_stats_in_Table_1.								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	flower_number	stigma_nectary_distance	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-5.375	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	flower_number	corolla_tube_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-0.12	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	flower_number	corolla_tube_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-6.006	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	flower_number	corolla_lobe_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-1.769	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	flower_number	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-3.421	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	stigma_nectary_distance	corolla_tube_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.787	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	stigma_nectary_distance	corolla_tube_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-0.075	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	stigma_nectary_distance	corolla_lobe_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.05	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	stigma_nectary_distance	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.059	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	corolla_tube_length	corolla_tube_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-0.144	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	corolla_tube_length	corolla_lobe_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.033	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	corolla_tube_length	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	-0.038	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	corolla_tube_width	corolla_lobe_length	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.418	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	corolla_tube_width	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.158	NA	NA	NA	NA								
11	ØO	ØO	Caruso_2004	Evolution	2004	Lobeliaceae	Lobelia	siphilitica	Lobelia_siphilitica	North_America	natural	SC	M	NA	NA	NA	0.5	Bees	Bumblebees	Author_description_(M_or_O?)	Krumm	41.700833	-92.783889	greenhouse	NA	NA	NA	NA	corolla_lobe_length	corolla_lobe_width	NA	NA	halfsib_families	narrowsense	NA	NA	NA	NA	NA	NA	0	NA	NA	0.39	NA	NA	NA	NA								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	female	ovary_size	ovary_length	ovary_length	ratio	linear	midparent	narrowsense	23	230	0.805	5.14	0.54	12.827	1	NA	NA	0.4347	1.645	0	0.399	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	fit	female	pistil_length	pistil_length	ratio	linear	midparent	narrowsense	23	230	0.809	18.43	3.99	9.748	1	NA	NA	3.22791	0.950	0	0.224	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	fit	female	style_length	style_length	ratio	linear	midparent	narrowsense	23	230	0.662	13.29	2.13	8.935	1	NA	NA	1.41006	0.798	0	0.408	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	fit	male	stamen_height_high	stamen_height_high	ratio	linear	midparent	narrowsense	23	230	0.875	15.5	3.44	11.193	1	NA	NA	3.01	1.253	0	0.179	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	fit	male	stamen_height_low	stamen_height_low	ratio	linear	midparent	narrowsense	23	230	0.757	13.27	2.76	10.893	1	NA	NA	2.08932	1.186	0	0.381	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	flowersize	corolla	corolla_width	corolla_width	ratio	linear	midparent	narrowsense	23	230	0.376	22.43	19.12	11.954	1	NA	NA	7.18912	1.429	0	2.371	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	flowersize	corolla	corolla_length	corolla_length	ratio	linear	midparent	narrowsense	23	230	0.576	21.41	10.23	11.338	1	NA	NA	5.89248	1.285	0	0.946	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	floral	herkogamy	herkogamy	mean_magnitude	mean_magnitude	signed_ratio	NA	midparent	narrowsense	23	230	0.378	2.93	1.74	27.679	1	NA	NA	0.6573672	7.594	0	NA	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	lifehistory	time_to_flowering	ontogeny	days_to_first_flower	days_to_first_flower	count	count	midparent	narrowsense	23	230	0.631	41.46	67.99	15.798	1	NA	NA	42.90169	2.496	0	1.460	Used_narrow-sense_heritabilities_from_mid-parent_regressions_reported_in_table_3._Summary_stats_in_Table_2.								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	NA	NA	NA	days_to_first_flower	corolla_width	NA	NA	midparent	narrowsense	NA	NA	NA	NA	NA	NA	1	0.82	NA	NA	NA	NA	NA	NA								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	NA	NA	NA	days_to_first_flower	corolla_length	NA	NA	midparent	narrowsense	NA	NA	NA	NA	NA	NA	1	0.75	NA	NA	NA	NA	NA	NA								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	NA	NA	NA	days_to_first_flower	pistil_length	NA	NA	midparent	narrowsense	NA	NA	NA	NA	NA	NA	1	0.68	NA	NA	NA	NA	NA	NA								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	NA	NA	NA	days_to_first_flower	stamen_height_low	NA	NA	midparent	narrowsense	NA	NA	NA	NA	NA	NA	1	0.78	NA	NA	NA	NA	NA	NA								
1	ØO	ØO	Carr_and_Fenster_1994	Heredity	1994	Phrymaceae	Mimulus	guttatus	Mimulus_guttatus	North_America	natural	SC	M	0.611	NA	0.52	1	Bees	Bumblebees	Outcrossing_rate_(species_mean_reported_by_authors)	S	38.05	-119.99	greenhouse	NA	NA	NA	NA	days_to_first_flower	stamen_height_high	NA	NA	midparent	narrowsense	NA	NA	NA	NA	NA	NA	1	0.74	NA	NA	NA	NA	NA	NA								
