year	date	species	pop	subpop	patch	pollen	stage	ASD	GAD	GSDl	GSDc	GSDr	GW	GHl	GHr	UBL	UBW	LBL	LBW	resincollected	GA	UBA	GSD
2014	17.11.2014	S	S12	S12	NA	NA	1	3.85	3.99	NA	5.25	NA	6.06	3.11	2.74	12.72	13.69	14.39	15.3	NA	17.73	174.14	5.25
2014	17.11.2014	S	S12	S12	NA	NA	1	2.18	4.87	NA	6.62	NA	7.45	3.41	3.61	14.01	16.07	14.45	15.9	NA	26.15	225.14	6.62
2014	17.11.2014	S	S12	S12	NA	NA	2	1.81	4.94	NA	6.18	NA	7.14	3.55	3.35	16.54	17.72	18.02	18.59	NA	24.63	293.09	6.18
2014	17.11.2014	S	S12	S12	NA	NA	3	3.09	3.27	NA	4.84	NA	5.7	2.7	2.25	15.74	15.93	14.78	14.93	NA	14.11	250.74	4.84
2014	17.11.2014	S	S12	S12	NA	NA	2	NA	NA	NA	4.78	NA	5.99	2.89	2.6	13.08	13.79	14.93	15.4	NA	16.44	180.37	4.78
2014	17.11.2014	S	S12	S12	NA	NA	3	NA	NA	NA	6.61	NA	7.07	3.32	3.3	14.3	17.06	17.16	17.78	NA	23.4	243.96	6.61
2014	17.11.2014	S	S4	S4	NA	NA	2	NA	NA	NA	5.88	NA	7.02	3.38	3.27	17.3	16.77	19.92	17.47	NA	23.34	290.12	5.88
2014	17.11.2014	S	S4	S4	NA	NA	3	4.01	6.59	NA	7.38	NA	7.05	3.69	3.46	22.76	20.33	23.91	21.45	NA	25.2	462.71	7.38
2014	17.11.2014	S	S4	S4	NA	NA	1	8.24	2.9	NA	6.97	NA	7.84	3.11	3.5	21.74	NA	23.97	20.96	NA	25.91	NA	6.97
2014	17.11.2014	S	S4	S4	NA	NA	1	3.71	4.13	NA	6.6	NA	7.1	3.71	3.82	20.39	18.11	21.96	19.13	NA	26.73	369.26	6.6
2014	17.11.2014	S	S4	S4	NA	NA	2	4.74	5.12	NA	2.33	NA	6.3	2.72	2.91	NA	18.37	20.4	18.7	NA	17.73	NA	2.33
2014	18.11.2014	S	S2	S2	NA	NA	1	4.09	5.43	NA	5.29	NA	6.25	3.14	3.25	18.07	18.86	16.28	18.97	NA	19.97	340.8	5.29
2014	18.11.2014	S	S2	S2	NA	NA	3	NA	NA	NA	5.84	NA	7.41	3.81	3.53	24.71	26.91	24.64	28.8	NA	27.19	664.95	5.84
2014	18.11.2014	S	S2	S2	NA	NA	1	3.12	4.47	NA	6.03	NA	6.82	3.74	3.43	18.55	20.27	20.99	22	NA	24.45	376.01	6.03
2014	18.11.2014	S	S2	S2	NA	NA	2	2.68	3.5	NA	4.8	NA	6.83	4.2	4.07	18.45	18.33	19.01	20	NA	28.24	338.19	4.8
2014	18.11.2014	S	S2	S2	NA	NA	1	1.99	3.97	NA	5.29	NA	6.6	3.61	3.34	22.12	23.32	24.69	25.12	NA	22.94	515.84	5.29
2014	18.11.2014	S	S2	S2	NA	NA	2	3.71	3.91	NA	5.26	NA	6.39	3.04	3.23	19.23	20.04	20.24	21.1	NA	20.03	385.37	5.26
2014	18.11.2014	S	S2	S2	NA	NA	1	3.38	5.21	NA	5.53	NA	6.17	2.96	3.28	17.86	18.74	19.47	21.46	NA	19.25	334.7	5.53
2014	18.11.2014	S	S2	S2	NA	NA	1	1.88	6.01	NA	5.97	NA	6.86	3.3	3.27	19.91	19.13	18.7	18.98	NA	22.54	380.88	5.97
2014	18.11.2014	S	S2	S2	NA	NA	2	3.69	4.83	NA	5.72	NA	7.14	3.18	3.38	16.78	16.43	17.49	17.85	NA	23.42	275.7	5.72
2014	18.11.2014	S	S2	S2	NA	NA	1	2.22	5.81	NA	6.46	NA	7.31	3.51	3.22	19.68	18.72	20.21	19.71	NA	24.6	368.41	6.46
2014	19.11.2014	S	S2	S2	NA	NA	2	3.15	4.72	NA	5.31	NA	7.09	3.57	3.66	19.59	20.1	19.08	21	NA	25.63	393.76	5.31
2014	19.11.2014	S	S2	S2	NA	NA	2	2.77	3.6	NA	3.82	NA	6.72	3.98	3.99	19.63	18.08	17.35	15.54	NA	26.78	354.91	3.82
2014	19.11.2014	S	S2	S2	NA	NA	1	3.26	4.09	NA	5.68	NA	6.78	2.79	2.66	17.65	17.02	20.32	18.16	NA	18.48	300.4	5.68
2014	20.11.2014	S	S2	S2	NA	NA	1	3.98	5.54	NA	5.05	NA	6.34	3.55	3.51	21.08	19.81	23.24	23.82	NA	22.38	417.59	5.05
2014	20.11.2014	S	S2	S2	NA	NA	2	2.61	4.14	NA	5.61	NA	6.57	3.31	3.09	21.62	19.95	22.51	22.14	NA	21.02	431.32	5.61
2014	21.11.2014	S	S2	S2	NA	NA	1	1.77	3.26	NA	4.55	NA	5.17	2.63	2.41	15.61	15.7	17.07	15.95	NA	13.03	245.08	4.55
2014	21.11.2014	S	S2	S2	NA	NA	1	3.74	3.31	NA	4.6	NA	7.05	3.03	3.25	14.03	15.64	15.12	15.86	NA	22.14	219.43	4.6
2014	26.11.2014	S	S1	S1	NA	NA	2	2.01	5.5	NA	6.33	NA	7.03	2.95	3.42	20.79	20.07	23.67	23.78	NA	22.39	417.26	6.33
2014	26.11.2014	S	S1	S1	NA	NA	1	1.07	4.83	NA	5.53	NA	6.34	3.09	2.95	17.97	18.7	16.48	19.39	NA	19.15	336.04	5.53
2014	26.11.2014	S	S1	S1	NA	NA	1	1.78	5.56	NA	6.31	NA	7.03	3.08	3.22	19.89	21.91	21	21.74	NA	22.14	435.79	6.31
2014	26.11.2014	S	S1	S1	NA	NA	3	1.8	6.7	NA	8.09	NA	7.74	3.83	4.02	23.53	22.03	23.93	24.76	NA	30.38	518.37	8.09
2014	26.11.2014	S	S1	S1	NA	NA	1	3.25	4.57	NA	5.44	NA	6.22	3.16	3.14	16.31	15.59	18.84	17.12	NA	19.59	254.27	5.44
2014	26.11.2014	S	S1	S1	NA	NA	2	2.39	5.9	NA	5.76	NA	7.05	3.23	3.34	16.89	16.51	16.78	16.3	NA	23.16	278.85	5.76
2014	26.11.2014	S	S1	S1	NA	NA	3	2.4	5.33	NA	6.48	NA	6.72	3.15	3.17	20.46	20.35	20.12	18.87	NA	21.24	416.36	6.48
2014	26.11.2014	S	S1	S1	NA	NA	3	1.12	6.95	NA	7.23	NA	7.06	3.45	3.59	25.14	23.35	27.07	24.2	NA	24.85	587.02	7.23
2014	27.11.2014	S	S1	S1	NA	NA	2	2.1	5.48	NA	4.79	NA	7.48	2.92	3.61	21.17	20.2	25.87	24.75	NA	24.42	427.63	4.79
2014	27.11.2014	S	S1	S1	NA	NA	2	0.36	6.11	NA	7.74	NA	6.98	3.33	3.54	21.83	20.51	23.87	21.01	NA	23.98	447.73	7.74
2014	27.11.2014	S	S1	S1	NA	NA	2	1.22	4.02	NA	5.37	NA	5.88	3.14	2.51	17.28	17.11	17.93	16.77	NA	16.61	295.66	5.37
2014	27.11.2014	S	S1	S1	NA	NA	1	1.5	4.79	NA	6.94	NA	6.49	2.91	2.94	21.52	19.36	24.93	20.64	NA	18.98	416.63	6.94
2014	27.11.2014	S	S1	S1	NA	NA	1	1.77	4.6	NA	6.9	NA	6.16	3.43	3.43	21.63	19.65	20.63	19.4	NA	21.13	425.03	6.9
2014	27.11.2014	S	S1	S1	NA	NA	1	2.79	3.45	NA	4.68	NA	5.48	2.72	2.5	15.61	16.1	16.25	17.83	NA	14.3	251.32	4.68
2014	27.11.2014	S	S1	S1	NA	NA	2	0.62	5	NA	6.58	NA	5.59	2.72	2.89	19.96	17.97	21.19	19.42	NA	15.68	358.68	6.58
2014	27.11.2014	S	S1	S1	NA	NA	1	1.82	4.79	NA	6.51	NA	6.33	3.31	3.46	20.76	19.64	19.67	21.24	NA	21.43	407.73	6.51
2014	27.11.2014	S	S1	S1	NA	NA	1	2.74	3.62	NA	4.37	NA	5.41	2.52	2.47	13.64	15.36	14.48	16.93	NA	13.5	209.51	4.37
2014	27.11.2014	S	S1	S1	NA	NA	1	2.03	5.95	NA	5.6	NA	6.95	3.52	3.21	19.15	18.44	18.9	17.63	NA	23.39	353.13	5.6
2014	28.11.2014	S	S6	S6	NA	NA	3	3.43	4.85	NA	5.15	NA	6.6	2.21	2.39	16.81	16.1	17.42	16.68	NA	15.18	270.64	5.15
2014	28.11.2014	S	S6	S6	NA	NA	1	3.5	5.17	NA	4.42	NA	6.56	2.73	2.57	14.61	15.36	16.76	15.36	NA	17.38	NA	4.42
2014	28.11.2014	S	S6	S6	NA	NA	1	4.59	4.55	NA	5.4	NA	6.47	2.58	2.92	22.07	21.45	24.55	22.08	NA	17.79	473.4	5.4
2014	29.11.2014	S	S6	S6	NA	NA	1	1.08	4.52	NA	7.03	NA	7.11	3.25	3.18	22.4	19.87	22.07	19.54	NA	22.86	445.09	7.03
2014	29.11.2014	S	S6	S6	NA	NA	1	4.09	4.69	NA	2.7	NA	5.31	2.16	2	16.91	13.44	16.38	NA	NA	11.04	227.27	2.7
2014	29.11.2014	S	S6	S6	NA	NA	1	2.33	5.72	NA	3.94	NA	5.78	3.1	3.04	18.41	15.78	18.37	14.39	NA	17.74	290.51	3.94
2014	29.11.2014	S	S6	S6	NA	NA	1	0.4	6.57	NA	6.83	NA	6.84	2.94	3.09	26.13	22.48	30.07	24.67	NA	20.62	587.4	6.83
2014	25.12.2014	S	S26	S26	NA	NA	1	1.74	4.08	NA	4.49	NA	5.56	2.22	1.99	18.36	18.84	20.74	20.36	NA	11.7	345.9	4.49
2015	13.10.2015	S	S21e	C	C	0	1	1.89	6.11	3.86	5.46	4.12	7.44	2.68	3.51	16.9	17.7	17.78	16.25	NA	23.03	299.13	4.48
2015	13.10.2015	S	S21e	C	C	20	1	2.53	5.83	4.55	5.78	4.99	7.5	3.64	3.04	16.64	18.45	17.57	16.78	NA	25.05	307.01	5.11
2015	13.10.2015	S	S21e	C	C	15	4	1.72	5.36	4.29	4.26	4.61	6.81	3.54	3.38	19.08	19.02	20.3	18.58	NA	23.56	362.9	4.39
2015	13.10.2015	S	S21e	C	C	60	3	2.7	5.57	4.77	5.8	5.48	6.48	2.24	2.81	17.77	18.88	17.48	16.11	NA	16.36	335.5	5.35
2015	13.10.2015	S	S21e	D	D	5	1	3.72	3.19	3.21	4.03	3.62	5.21	2.62	2.85	13.71	14.21	14.82	14.65	NA	14.25	194.82	3.62
2015	13.10.2015	S	S21e	D	D	25	1	3.91	3.86	3.6	4.61	4.09	5.81	3.02	3.04	16.98	17.52	18.5	17.95	NA	17.6	297.49	4.1
2015	13.10.2015	S	S21e	D	D	60	1	2.25	2.84	3.96	4.72	3.45	6.45	3.15	3.2	15.4	16.66	15.65	16.41	NA	20.48	256.56	4.04
2015	13.10.2015	S	S21	A	NA	50	2	4.22	5.52	3.43	4.43	3.77	5.95	3.64	3.48	20.4	23.45	20.96	24.1	NA	21.18	478.38	3.88
2015	13.10.2015	S	S21	A	NA	40	1	2.63	5.91	3.54	3.92	3.66	5.59	2.99	2.79	14.04	16.67	14.01	16.76	NA	16.16	234.05	3.71
2015	13.10.2015	S	S21	A	NA	15	1	4.34	5.4	3.7	4.63	3.99	5.15	1.71	1.31	17.68	18.61	18.28	20.45	NA	7.78	NA	4.11
2015	13.10.2015	S	S21	A	NA	25	3	4.13	6.89	4.76	5.33	4.85	7.58	2.81	3.07	20.92	22.88	22.66	23.74	NA	22.29	478.65	4.98
2015	14.10.2015	S	S21e	E	E	0	1	2.69	3.34	4.21	5.08	3.68	6.04	2.38	2.01	16.54	17.38	15.54	17.45	NA	13.26	287.47	4.32
2015	14.10.2015	S	S21e	E	E	4	1	2.63	2.79	3.32	3.21	2.87	5.28	2.1	1.98	11.21	10.91	11.28	10.63	NA	10.77	122.3	3.13
2015	14.10.2015	S	S21	A	NA	80	1	5.34	5.79	4.27	4.13	3.83	7	2.35	2.67	19.04	21.14	18.37	20.82	NA	17.57	402.51	4.08
2015	14.10.2015	S	S21	A	NA	75	1	2.2	3.97	3.47	4.96	3.84	6.38	2.61	2.63	16.97	18.62	18.23	20.86	NA	16.72	315.98	4.09
2015	14.10.2015	S	S21	A	NA	100	1	3.45	6.31	5.29	6.91	5.3	6.79	2.6	2.93	22.85	25.28	22.6	28.04	NA	18.77	577.65	5.83
2015	14.10.2015	S	S21	A	NA	100	3	4.04	5.49	5.45	5.8	4.65	7.08	3.05	2.89	19.65	19.63	20.64	24.75	NA	21.03	385.73	5.3
2015	14.10.2015	S	S21	A	NA	30	2	3.92	5.57	4.06	5.14	4.23	5.94	2.5	2.47	18.41	21.09	18.72	20.78	NA	14.76	388.27	4.48
2015	14.10.2015	S	S21	A	NA	5	1	3.69	5.24	4.33	4.55	4.1	5.83	2.71	2.8	18.1	20.13	17.01	20.21	NA	16.06	364.35	4.33
2015	14.10.2015	S	S21	A	NA	200	1	2.54	3.87	5.07	5.04	4.43	5.41	2.1	2.34	15.54	17.74	16.89	19.77	NA	12.01	275.68	4.85
2015	14.10.2015	S	S21	A	NA	25	3	3.12	5.34	4.22	3.93	3.43	5.54	2.65	2.67	19.48	22.56	19.68	21.35	NA	14.74	439.47	3.86
2015	14.10.2015	S	S21	A	NA	3	1	2.11	3.06	2.9	4.08	3.73	4.46	2.29	1.9	12.39	15.41	13.77	16.34	NA	9.34	190.93	3.57
2015	14.10.2015	S	S21	A	NA	50	1	3.53	5.24	4.08	4.09	4.57	6.36	3.41	3.4	20.06	21.15	20.24	23.81	NA	21.66	424.27	4.25
2015	14.10.2015	S	S21	A	NA	70	2	2.74	6.6	5.83	6.18	4.77	6.65	2.99	3.21	23.21	24.92	22.61	26.15	NA	20.62	578.39	5.59
2015	14.10.2015	S	S21	A	NA	0	1	5.17	5.97	3.39	3.83	3.61	6.08	2.23	2.1	17.91	18.35	15.71	18.48	NA	13.16	328.67	3.61
2015	14.10.2015	S	S21	A	NA	100	2	3.03	4.86	3.85	4.13	3.59	6.22	2.46	2.54	18.41	21.54	19.15	23.03	NA	15.55	396.55	3.86
2015	14.10.2015	S	S21	A	NA	70	1	3.93	4.26	4.15	4.46	4	6.53	2.76	2.53	16.11	19.21	16.11	19.59	NA	17.27	309.47	4.2
2015	15.10.2015	S	S11	S11	A	3	3	2.61	5.35	5.95	6.28	5.57	5.72	2.51	2.7	19.16	20.92	23.5	22.05	NA	14.9	400.83	5.93
2015	15.10.2015	S	S11	S11	B	3	3	3.2	5.27	5.17	4.87	4.98	6.16	2.84	2.84	18.86	17.8	19.61	19.89	NA	17.49	335.71	5.01
2015	15.10.2015	S	S11	S11	B	1	2	1.88	4.14	4.49	4.53	4.14	5.72	2.84	2.92	15.77	15.88	17.49	14.79	NA	16.47	250.43	4.39
2015	15.10.2015	S	S11	S11	B	0	1	2.37	4.76	3.26	3.34	3	5.26	2.8	2.71	15.35	13.63	12.67	11.38	NA	14.49	209.22	3.2
2015	15.10.2015	S	S11	S11	B	1	2	1.63	3.3	3.41	3.52	4.05	5.1	2.51	2.66	19.22	18.72	19.22	17.6	NA	13.18	359.8	3.66
2015	15.10.2015	S	S11	S11	B	1	1	2.84	5.14	3.54	4.96	3.69	3.96	1.63	1.79	16.69	13.03	15.68	13.46	NA	6.77	217.47	4.06
2015	15.10.2015	S	S11	S11	B	2	3	2.58	5.59	4.97	5.07	4.04	4.95	2.21	2.52	19.87	18.55	21.92	19.79	NA	11.71	368.59	4.69
2015	15.10.2015	S	S11	S11	B	2	3	1.94	4.79	5.44	5.29	5.77	6.06	3.25	3.2	19.06	18.59	22.26	20.92	NA	19.54	354.33	5.5
2015	15.10.2015	S	S11	S11	C	2	3	3.6	6.57	3.87	5.59	5.67	6.1	2.97	2.75	17.63	17.95	18.88	19.03	NA	17.45	316.46	5.04
2015	15.10.2015	S	S11	S11	C	0	3	4.2	4.64	3.25	3.82	3.03	5.05	2.38	2.57	12.2	11.45	12.09	12.21	NA	12.5	139.69	3.37
2015	15.10.2015	S	S11	S11	D	20	1	2.94	5.3	5.56	6.09	5.47	5.75	2.81	2.69	18.03	17.52	19.72	18.3	NA	15.81	315.89	5.71
2015	15.10.2015	S	S11	S11	D	0	1	2.81	4.65	3.39	4.35	3.48	6.01	2.46	2.52	12.96	10.05	14.07	10.43	NA	14.96	130.25	3.74
2015	15.10.2015	S	S11	S11	D	25	2	4.29	5.03	3.47	4.36	4	4.62	2.48	2.43	12.01	12	13.45	12.83	NA	11.34	144.12	3.94
2015	15.10.2015	S	S11	S11	E	0	1	5.27	5.78	3.83	5.77	3.13	6.04	2.66	2.88	18.61	17.74	19	17.09	NA	16.73	330.14	4.24
2015	15.10.2015	S	S11	S11	E	50	3	4.25	5.42	4.24	5.37	4.55	6.36	3.15	3.51	23.29	20.03	23.27	21.08	NA	21.18	466.5	4.72
2015	15.10.2015	S	S11	S11	F	2	2	3.32	3.88	4.17	5.65	4.52	5.39	2.09	1.96	15.84	15.36	12.41	12.29	NA	NA	243.3	NA
2015	15.10.2015	S	S11	S11	G	0	1	4.24	5.97	4.04	5.39	4.28	6.03	2.87	2.93	22.94	25.71	23.99	24.25	NA	17.49	589.79	4.57
2015	15.10.2015	S	S11	S11	H	10	1	1.79	6.18	4.45	5.75	4.51	6.77	3.6	3.73	21.6	21.05	22.8	20.65	NA	24.81	454.68	4.9
2015	15.10.2015	S	S11	S11	H	5	1	2.95	5.63	4.57	5.82	5.54	6.79	3.39	3.41	21.49	21.13	23.56	21.93	NA	23.09	454.08	5.31
2015	15.10.2015	S	S11	S11	H	7	1	2.61	5.09	4.68	5.48	4.16	6.4	3.18	3.13	17.85	17.75	20.62	20.04	NA	20.19	316.84	4.77
2015	15.10.2015	S	S11	S11	I	2	1	2.81	5.14	3.52	4.24	4.93	5.15	2.46	2.44	15.99	17.48	17.83	17.91	NA	12.62	279.51	4.23
2015	15.10.2015	S	S11	S11	I	0	1	2.21	5.61	5.17	5.67	4.15	5.62	2.41	2.58	14.34	15.31	16.14	15.12	NA	14.02	219.55	5
2015	15.10.2015	S	S11	S11	J	0	1	4.57	4.68	4.63	4.91	4	5.11	2.5	2.57	17.72	17.72	19.09	18.64	NA	12.95	314	4.51
2015	15.10.2015	S	S11	S11	J	6	1	3.54	5.05	4.16	4.62	3.51	5.78	2.96	3.08	19.31	20.23	19.31	18.86	NA	17.46	390.64	4.1
2015	15.10.2015	S	S11	S11	K	3	1	2.87	4.98	4.59	5.7	4.24	5.16	2.48	2.59	19.05	18.49	21.36	21.32	NA	13.08	352.23	4.84
2015	15.10.2015	S	S11	S11	K	0	1	2.97	5.55	4.32	5.02	4.26	5.9	2.82	2.92	17.09	17.13	19.74	17.98	NA	16.93	292.75	4.53
2015	15.10.2015	S	S11	S11	K	0	1	3.16	4.76	4.69	5.04	4.78	5.49	3.03	2.99	19.32	20.22	21.33	22.03	NA	16.52	390.65	4.84
2015	15.10.2015	S	S11	S11	P	5	1	3.33	5.6	4.1	4.43	4.07	6.62	3.6	3.4	16.59	17.16	17.14	16.18	NA	23.17	284.68	4.2
2015	15.10.2015	S	S11	S11	O	45	1	3.67	7.06	3.73	5.15	4.85	6.84	3.61	3.63	20.24	20.8	22.87	23.12	NA	24.76	420.99	4.58
2015	15.10.2015	S	S11	S11	O	3	1	2.86	6.82	4.51	5.51	5.36	6.7	3.23	3.59	19.99	19.94	21.44	21.04	NA	38.08	427.51	5.13
2015	15.10.2015	S	S11	S11	O	5	1	4.43	6.15	3.51	4.3	3.45	7.39	3.83	3.87	18.75	20.81	19.81	19.83	NA	28.45	390.19	3.75
2015	15.10.2015	S	S11	S11	N	6	1	2.89	5.8	4.06	5.4	3.96	6.4	2.88	2.79	18.02	18.05	17.41	17.41	NA	18.14	325.26	4.47
2015	15.10.2015	S	S11	S11	M	10	1	4.42	5.31	4.3	5.44	4.66	6.43	3.26	3.22	18.52	19.56	20.71	20.36	NA	20.83	362.25	4.8
2015	15.10.2015	S	S11	S11	L	15	1	2.49	4.19	4.51	5.89	4.67	5.23	2.48	2.72	19.54	21.08	23.5	23.6	NA	13.6	411.9	5.02
2015	16.10.2015	S	S21	S21	K	130	1	3.3	4.73	3.53	4.76	3.83	6.5	2.27	2.39	15.79	17.84	15.12	18.94	NA	15.15	281.69	4.04
2015	16.10.2015	S	S21	S21	A	120	1	1.18	4.33	5.24	6.35	5.56	6.73	2.73	2.54	17.04	19.87	18.79	20.35	NA	17.73	338.58	5.72
2015	16.10.2015	S	S21	S21	A	30	1	2.38	3.59	4.02	5.11	4.42	6.84	3	3.01	16.01	17.62	16.61	18.08	NA	20.55	282.1	4.52
2015	16.10.2015	S	S21	S21	A	50	1	2.59	4.13	4.4	5.36	4.67	6.33	2.4	2.63	16.64	18	17.59	19.68	NA	15.92	299.52	4.81
2015	16.10.2015	S	S21	S21	NA	NA	1	2.76	6	4.13	4.75	4.64	6.8	2.42	2.72	18.41	19.85	19.43	20.48	NA	17.48	365.44	4.51
2015	16.10.2015	S	S21	S21	NA	NA	1	4.66	6.63	4.6	5.46	4.1	6.63	3.29	3.12	21.84	22.7	NA	NA	NA	21.25	495.77	4.72
2015	16.10.2015	S	S21	S21	NA	NA	1	3.27	4.76	4.4	4.23	4.72	6.77	3.19	3.08	14.41	17.62	16.55	17.89	NA	21.22	253.9	4.45
2015	16.10.2015	S	S21	S21	NA	NA	1	1.78	4.1	5.3	6.3	5.17	6.92	2.68	3.06	17.84	19.4	20.1	21.9	NA	19.86	346.1	5.59
2015	16.10.2015	S	S21	S21	NA	NA	1	4.24	4.96	4.76	6.07	5.13	5.9	2.34	2.32	20.45	22.82	21.83	24.48	NA	13.75	466.67	5.32
2015	16.10.2015	S	S21	S21	NA	NA	1	2.77	5.09	4.17	5.01	4.42	6.01	2.58	2.84	17.75	18.94	19.17	22.27	NA	NA	336.19	NA
2015	16.10.2015	S	S21	S21	H	80	1	3.54	6.5	3.82	5.2	4.64	6.32	3.01	3.08	19.5	20.98	19.9	23	NA	19.24	409.11	4.55
